state_name,state_abbr,state,eb,est_inc
Alabama,AL,1,.37038091,111708.95
Alaska,AK,2,.14757371,93546.43
Arizona,AZ,4,.28886497,105064.03
Arkansas,AR,5,.38363034,112788.99
California,CA,6,.33558765,108872.71
Colorado,CO,8,.21696855,99203.273
Connecticut,CT,9,.35245866,110247.98
Delaware,DE,10,.31525427,107215.2
Florida,FL,12,.30919656,106721.4
Georgia,GA,13,.34443828,109594.19
Hawaii,HI,15,.29858062,105856.02
Idaho,ID,16,.362064,111030.98
Illinois,IL,17,.29235125,105348.22
Indiana,IN,18,.43945628,117339.74
Iowa,IA,19,.25733235,102493.59
Kansas,KS,20,.35952997,110824.41
Kentucky,KY,21,.35643435,110572.06
Louisiana,LA,22,.34482756,109625.92
Maine,ME,23,.38501465,112901.84
Maryland,MD,24,.27176952,103670.47
Massachusetts,MA,25,.35506362,110460.33
Michigan,MI,26,.35633582,110564.03
Minnesota,MN,27,.28508896,104756.23
Mississippi,MS,28,.51135296,123200.52
Missouri,MO,29,.33147463,108537.43
Montana,MT,30,.38333103,112764.59
Nebraska,NE,31,.26906782,103450.23
Nevada,NV,32,.34032357,109258.77
New Hampshire,NH,33,.2581822,102562.88
New Jersey,NJ,34,.36719188,111448.98
New Mexico,NM,35,.25031549,101921.6
New York,NY,36,.28415248,104679.88
North Carolina,NC,37,.28139952,104455.48
North Dakota,ND,38,.14790168,93573.172
Ohio,OH,39,.36727324,111455.62
Oklahoma,OK,40,.42299539,115997.91
Oregon,OR,41,.44876617,118098.65
Pennsylvania,PA,42,.38504615,112904.41
Rhode Island,RI,44,.171598,95504.813
South Carolina,SC,45,.42508951,116168.61
South Dakota,SD,46,.34282389,109462.59
Tennessee,TN,47,.37840348,112362.91
Texas,TX,48,.31161252,106918.34
Utah,UT,49,.40242401,114320.99
Vermont,VT,50,.28927562,105097.51
Virginia,VA,51,.22455923,99822.039
Washington,WA,53,.28193474,104499.1
West Virginia,WV,54,.50133425,122383.83
Wisconsin,WI,55,.49755567,122075.81
Wyoming,WY,56,-.046119668,77757.188
